age,gender,race,education,income_level,years_experience,true_label,model_prediction
60,Male,Hispanic,High School,High,4,1,0
50,Female,White,Bachelor,Low,6,1,0
36,Male,Black,High School,Medium,3,0,1
64,Female,White,Master,Medium,4,1,1
29,Female,White,Bachelor,Medium,23,0,1
42,Male,Hispanic,High School,Low,0,0,1
60,Female,White,Bachelor,Medium,0,1,1
40,Female,White,Bachelor,Medium,14,1,1
44,Male,White,High School,Medium,19,1,1
32,Female,White,High School,Low,18,1,1
32,Male,White,High School,Medium,9,0,1
45,Female,White,Bachelor,Low,17,0,1
57,Male,White,Bachelor,Medium,2,0,1
61,Female,Hispanic,Bachelor,Low,10,1,0
45,Male,Hispanic,Master,High,14,1,1
24,Male,White,Master,Medium,10,1,1
43,Female,White,Bachelor,Medium,16,0,1
23,Male,White,Master,Low,16,1,1
45,Male,White,High School,Medium,5,0,1
51,Female,White,High School,High,4,1,0
59,Female,Black,High School,High,7,1,1
23,Female,White,High School,Medium,1,0,1
42,Female,White,Bachelor,Medium,15,1,1
54,Male,White,Master,Medium,19,1,1
33,Male,White,High School,High,23,1,1
43,Male,Asian,High School,Medium,11,1,1
46,Female,Black,Bachelor,Medium,5,1,1
48,Female,White,Master,Medium,0,0,1
63,Female,Hispanic,High School,Medium,3,1,0
49,Female,White,Bachelor,Low,16,0,1
37,Male,Hispanic,High School,Medium,12,0,1
36,Male,Black,High School,Medium,17,1,0
24,Male,White,PhD,Medium,4,0,1
58,Male,White,PhD,Low,23,1,1
28,Male,White,High School,Medium,23,1,1
42,Female,White,PhD,Medium,2,1,1
30,Male,Black,Bachelor,Medium,10,1,1
60,Male,White,Master,Low,12,1,1
39,Male,White,Bachelor,Medium,3,0,1
25,Female,Hispanic,Bachelor,Medium,13,0,1
46,Female,Other,Bachelor,Medium,21,1,1
35,Male,White,Bachelor,Medium,10,1,1
30,Male,White,High School,Medium,9,0,0
47,Female,White,High School,High,18,1,1
23,Male,White,High School,Low,17,1,1
41,Female,Hispanic,Bachelor,High,5,1,1
49,Female,White,High School,Medium,14,1,1
28,Male,White,Bachelor,Low,20,1,1
29,Male,White,PhD,Low,9,0,1
56,Female,White,High School,Medium,4,0,1
35,Male,Black,Bachelor,Medium,4,1,0
38,Male,Hispanic,Bachelor,Medium,9,0,1
57,Female,White,Master,Medium,4,0,1
61,Female,White,High School,Medium,2,0,0
25,Female,White,Bachelor,Medium,22,1,1
23,Female,Hispanic,Master,Low,5,1,1
