Gender,Race,Age_Group,Location,English_Fluency,Education,Experience_Years,Skills_Score,Hired,model_prediction
Male,Black,35-44,Urban,Medium,Diploma,19,0.37,0,0
Female,Black,45-54,Urban,Low,Matric,0,0.95,1,1
Female,Black,55+,Urban,Medium,Diploma,7,0.73,1,1
Female,Black,35-44,Urban,Low,Degree,4,0.6,1,1
Female,Black,18-24,Urban,Low,Diploma,16,0.16,0,0
Male,Black,45-54,Urban,Medium,Matric,7,0.16,0,0
Female,Black,55+,Urban,Medium,Postgraduate,9,0.06,0,0
Male,Black,18-24,Urban,Medium,Degree,1,0.87,1,1
Male,White,18-24,Urban,Medium,Degree,8,0.6,1,1
Male,Coloured,18-24,Urban,Medium,Matric,2,0.71,1,1
Male,Coloured,18-24,Rural,Low,Matric,17,0.02,0,0
Male,White,35-44,Rural,Low,Matric,6,0.97,1,1
Female,Indian,35-44,Urban,High,Matric,14,0.83,1,1
Female,Black,35-44,Rural,Medium,Diploma,20,0.21,0,0
Female,Black,55+,Urban,High,Postgraduate,19,0.18,0,0
Female,Black,55+,Urban,Medium,Diploma,17,0.18,0,0
Male,White,55+,Rural,Medium,Matric,2,0.3,0,0
Female,Coloured,25-34,Urban,Medium,Diploma,13,0.52,0,0
Male,Black,55+,Rural,Medium,Matric,1,0.43,0,0
Female,Indian,35-44,Urban,Medium,Degree,13,0.29,0,0
Male,Black,35-44,Urban,Medium,Diploma,10,0.61,1,1
Male,Indian,25-34,Urban,Medium,Degree,15,0.14,0,0
Female,Black,25-34,Rural,Medium,Postgraduate,7,0.29,0,0
Male,Black,55+,Urban,High,Matric,6,0.37,0,0
Male,Black,45-54,Rural,High,Diploma,10,0.46,0,0
Female,Black,25-34,Urban,Medium,Postgraduate,2,0.79,1,1
Male,Black,18-24,Urban,Medium,Degree,16,0.2,0,0
Female,Black,35-44,Urban,Low,Diploma,13,0.51,0,0
Female,Coloured,18-24,Urban,Medium,Postgraduate,5,0.59,1,1
Female,Black,35-44,Rural,Medium,Matric,7,0.05,0,0
Male,Black,35-44,Urban,High,Postgraduate,4,0.61,1,1
Male,White,25-34,Rural,Medium,Matric,7,0.17,0,0
Male,White,25-34,Rural,Medium,Diploma,1,0.07,0,0
Female,Black,18-24,Urban,Medium,Postgraduate,14,0.95,1,1
Male,Black,35-44,Urban,High,Matric,11,0.97,1,1
Female,Black,18-24,Urban,Medium,Diploma,16,0.81,1,1
Female,Black,45-54,Urban,Medium,Diploma,0,0.3,0,0
Male,White,18-24,Urban,High,Postgraduate,14,0.1,0,0
Female,Black,55+,Urban,Low,Degree,13,0.68,1,1
Male,Black,18-24,Urban,High,Degree,19,0.44,1,1
Male,White,55+,Urban,Low,Diploma,15,0.12,0,0
Male,Black,55+,Urban,High,Degree,8,0.5,1,1
